llm_name,metadata_format,processing_stage,url,metadata_field,findability,annot_missing,value_annot,value_pred,rouge,levenshtein,relevancy,faithfulness,domain,provider,name,Metadata availability
Gemini 2.5 Flash,cedar,Post,https://datahuiswadden.openearth.nl/geonetwork/srv/api/records/A0h06_NlSEuNlium5OO3FA,Description,1,False,"For the proper management of areas such as the Wadden Sea, a consistent and unambiguous insight into the changes in the various landscape units is of great importance. One of the ways to make changes in ecosystems and landscapes visible is with ecotope maps. Ecotopes are “spatially delimited ecological units, the composition and development of which are determined by abiotic, biotic and anthropogenic conditions on site. An ecotope is a recognizable, more or less homogeneous landscape unit.” (Bouma et al., 2005). Ecotope maps are derived from a number of underlying maps of mainly physical factors, which together determine the characteristics of an ecotope. In the Netherlands, the RijksWateren-EcotopenStelsel (RWES) developed by Rijkswaterstaat is used, which has been elaborated for salt waters in the Zoute wateren EcotopenStelsel.",Ecotopenkaart Waddenzee volgens de ZES.1 Typologie,0.0,0.04875148632580262,0.0,1.0,datahuiswadden.openearth.nl,Datahuis Wadden,Ecotopenkaart 2016 (Datahuis Wadden),Available and structured
Gemini 2.5 Flash,cedar,Post,https://datahuiswadden.openearth.nl/geonetwork/srv/eng/catalog.search#/metadata/0fe7e64b-50b3-4cee-b64a-02659fc2b6c7,Description,1,False,"The three Wadden provinces – North Holland, Friesland and Groningen – jointly present the Wadden Balance 2024. This periodic socio-economic monitor provides an up-to-date picture of the broad prosperity and economic activities in the Wadden area. The results show that the broad prosperity in the region differs between the Wadden Islands, port municipalities and coastal municipalities. The Wadden Balance focuses on 14 municipalities in the Wadden area with a total of more than 460,000 inhabitants. The monitor was drawn up by Het PON & Telos, commissioned by the Wadden provinces and in consultation with the Wadden municipalities and the Ministry of LVVN. The monitor uses reliable, regularly available data. Themes such as health, income, well-being, mobility and social cohesion are made clear and compared with national trends for the Wadden area.",Waddenbalans 2024 Description,0.014705882352941176,0.03157894736842104,0.0,1.0,datahuiswadden.openearth.nl,Datahuis Wadden,Waddenbalans 2024 (Datahuis Wadden),Available and structured
Gemini 2.5 Flash,cedar,Post,https://datahuiswadden.openearth.nl/geonetwork/srv/eng/catalog.search#/metadata/L-mHomzGRuKAHGMkUPjY9g,Description,1,False,"An ecotope is an ecomorphological, landscape mappable unit. The ecotope system is classified based on the criteria height, current velocity, wave height, drying period, geomorphology, salinity and sediment composition. With the ecotope classification, gradual transitions in these variables are converted into discrete, mappable units. Changes in ecologically relevant changes in current velocity etc. are thus clearly quantifiable and can be used for explorations, planning studies and evaluations of construction and management.","Een ecotoop is een ecomorfologische, landschappelijke karteerbare eenheid..",0.02531645569620253,0.12452830188679243,0.7566440846338264,1.0,datahuiswadden.openearth.nl,Datahuis Wadden,Ecotopenkaart 2017 (Datahuis Wadden),Available and structured
Gemini 2.5 Flash,cedar,Post,https://developers.google.com/earth-engine/datasets/catalog/NASA_HLS_HLSS30_v002,Description,1,False,"The Harmonized Landsat Sentinel-2 (HLS) project provides consistent surface reflectance data from the Operational Land Imager (OLI) aboard the joint NASA/USGS Landsat 8 satellite and the Multi-Spectral Instrument (MSI) aboard Europes Copernicus Sentinel-2A satellites. The combined measurement enables global observations of the land every 2-3 days at 30-meter (m) spatial resolution. The HLS project uses a set of algorithms to obtain seamless products from OLI and MSI that include atmospheric correction, cloud and cloud-shadow masking, spatial co-registration and common gridding, illumination and view angle normalization, and spectral bandpass adjustment. The HLS project distributes data as two separate products: HLSL30 (Landsat 8/9) and HLSS30 (Sentinel-2 A/B). They both provide 30m Nadir Bidirectional Reflectance Distribution Function (BRDF), Adjusted Reflectance (NBAR).",Harmonized Landsat Sentinel-2 (HLS) project. The Harmonized Landsat Sentinel-2 (HLS) project provides consistent surface reflectance data from Landsat 8 and Sentinel-2A satellites.,0.24675324675324675,0.18006795016987542,0.8007273379858019,1.0,developers.google.com,Google Earth Engine,Harmonized Landsat Sentinel-2 (Google Earth Engine),Available and structured
Gemini 2.5 Flash,cedar,Post,https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-2bd-kskz,Description,1,False,"The Dutch forest reserves network encompasses about 60 forest reserves representing all major forest types in the Netherlands. The reserves were designated between 1983 and 2000. The present Access-database presents all measurements (mostly between 1982 and 2005) on trees and regeneration in circular sample plots throughout the reserves and in a one ha rectangular core area in each reserve. The data set also includes map data at the reserve level (such as reserve boundaries, samples plots and core areas) and of GIS files derived from tree measurements in the core area.","Dutch Forest Reserves Network Database. This database contains measurements on trees, regeneration, and map data from approximately 60 Dutch forest reserves, collected between 1982 and 2005.",0.23728813559322035,0.24347826086956526,0.8219685277448215,1.0,lifesciences.datastations.nl,DANS Datastations,Dutch forest reserves database and network (DANS),Available and structured
Gemini 2.5 Flash,cedar,Post,https://lpdaac.usgs.gov/products/mod09a1v061/,Description,1,False,"The Moderate Resolution Imaging Spectroradiometer (MODIS) Terra MOD09A1 Version 6.1 product provides an estimate of the surface spectral reflectance of Terra MODIS Bands 1 through 7 corrected for atmospheric conditions such as gasses, aerosols, and Rayleigh scattering. Along with the seven 500 meter (m) reflectance bands are two quality layers and four observation bands. For each pixel, a value is selected from all the acquisitions within the 8-day composite period. The criteria for the pixel choice include cloud and solar zenith. When several acquisitions meet the criteria the pixel with the minimum channel 3 (blue) value is used.","MOD09A1 Product Summary. The MODIS Terra MOD09A1 Version 6.1 product estimates surface spectral reflectance for bands 1-7, corrected for atmospheric conditions like gasses, aerosols, and Rayleigh scattering, and includes quality and observation bands.",0.41481481481481486,0.3364632237871674,0.7690198825552992,1.0,lpdaac.usgs.gov,LP DAAC,MODIS Terra MOD09A1 Version 6.1 (LP DAAC),Available and structured
Gemini 2.5 Flash,cedar,Post,https://stac.ecodatacube.eu/blue_glad.landsat.ard2.seasconv.m.yearly/collection.json,Description,1,False,Blue band aggregated yearly from 30-m bi-monthly gapfilled GLAD Landsat ARD blue band from 2000 to 2022.,Blue band aggregated yearly from 30-m bi-monthly gapfilled GLAD Landsat ARD blue band from 2000 to 2022.,1.0,1.0,0.7643226215070921,1.0,ac.ecodatacube.eu,EcoDataCube,Cloud-free reconstructed Landsat yearly blue band (EcoDataCube),Available and structured
Gemini 2.5 Flash,cedar,Post,https://stac.ecodatacube.eu/green_glad.landsat.ard2.seasconv.m.yearly/collection.json,Description,1,False,Green band aggregated yearly from 30-m bi-monthly gapfilled GLAD Landsat ARD green band from 2000 to 2022.,Green Band Aggregated Yearly from 30-m Bi-Monthly Gapfilled GLAD Landsat ARD Green Band from 2000 to 2022,1.0,0.9150943396226415,0.8063707664481209,1.0,ac.ecodatacube.eu,EcoDataCube,Cloud-free reconstructed Landsat yearly green band (EcoDataCube),Available and structured
Gemini 2.5 Flash,cedar,Post,https://stac.ecodatacube.eu/ndvi_glad.landsat.ard2.seasconv/collection.json?.language=en,Description,1,False,"[NDVI](Tucker, 1979) quantifies vegetation greenness, computed from 30-m bi-monthly aggregated and gapfilled GLAD Landsat ARD from 2000 to 2022.","NDVI. NDVI quantifies vegetation greenness, computed from 30-m bi-monthly aggregated and gapfilled GLAD Landsat ARD from 2000 to 2022.",0.9302325581395349,0.8958333333333334,0.7791907056360875,1.0,ac.ecodatacube.eu,EcoDataCube,Cloud-free reconstructed Landsat bimonthly NDVI (EcoDataCube),Available and structured
Gemini 2.5 Flash,cedar,Post,https://stac.ecodatacube.eu/veg_quercus.robur_anv.eml/collection.json?.language=en,Description,1,False,Actual Natural Vegetation (ANV): probability of occurrence for the Pedunculate oak in its realized environment for the period 2000 - 2033,Actual Natural Vegetation (ANV): probability of occurrence for the Pedunculate oak in its realized environment for the period 2000 - 2033,1.0,1.0,0.7634178759713183,1.0,ac.ecodatacube.eu,EcoDataCube,Actual probability distribution for Quercus robur (EcoDataCube),Available and structured
