llm_name,metadata_format,processing_stage,url,domain,provider,name,metadata_field,findability,annot_missing,value_annot,value_pred,rouge,levenshtein,manual_score
GPT4,LTER-LIFE,Pre,https://datahuiswadden.openearth.nl/geonetwork/srv/api/records/A0h06_NlSEuNlium5OO3FA,datahuiswadden.openearth.nl,Datahuis Wadden,Ecotopenkaart 2016 (Datahuis Wadden),Access rights,1,False,"Copyright, no user limitations",Geen gebruiks limitaties; The access rights state that there are no usage limitations (Geen gebruiks limitaties).,0.2,1,-1
GPT4,LTER-LIFE,Pre,https://datahuiswadden.openearth.nl/geonetwork/srv/eng/catalog.search#/metadata/0fe7e64b-50b3-4cee-b64a-02659fc2b6c7,datahuiswadden.openearth.nl,Datahuis Wadden,Waddenbalans 2024 (Datahuis Wadden),Access rights,2,False,No user limitations,N/A,0.0,0.052631578947368474,-1
GPT4,LTER-LIFE,Pre,https://datahuiswadden.openearth.nl/geonetwork/srv/eng/catalog.search#/metadata/L-mHomzGRuKAHGMkUPjY9g,datahuiswadden.openearth.nl,Datahuis Wadden,Ecotopenkaart 2017 (Datahuis Wadden),Access rights,2,False,No limitations,Geen beperkingen; The access rights for the dataset are 'Geen beperkingen'.,0.0,0.10666666666666669,-1
GPT4,LTER-LIFE,Pre,https://developers.google.com/earth-engine/datasets/catalog/NASA_HLS_HLSS30_v002,developers.google.com,Google Earth Engine,Harmonized Landsat Sentinel-2 (Google Earth Engine),Access rights,1,False,"NASA promotes the full and open sharing of all data with research and applications communities, private industry, academia, and the general public.","Free to use for research, education, and nonprofit use; The dataset is free to use for research, education, and nonprofit use.",0.1395348837209302,0.24489795918367352,-1
GPT4,LTER-LIFE,Pre,https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-2bd-kskz,lifesciences.datastations.nl,DANS Datastations,Dutch forest reserves database and network (DANS),Access rights,0,True,N/A,Dutch forest reserves database and network; The access rights are not explicitly mentioned in the text.,0.0,0.0,-1
GPT4,LTER-LIFE,Pre,https://lpdaac.usgs.gov/products/mod09a1v061/,lpdaac.usgs.gov,LP DAAC,MODIS Terra MOD09A1 Version 6.1 (LP DAAC),Access rights,0,True,N/A,LP DAAC - MOD09A1; The access rights are not explicitly mentioned in the text.,0.0,0.012820512820512775,-1
GPT4,LTER-LIFE,Pre,https://stac.ecodatacube.eu/blue_glad.landsat.ard2.seasconv.m.yearly/collection.json,ac.ecodatacube.eu,EcoDataCube,Cloud-free reconstructed Landsat yearly blue band (EcoDataCube),Access rights,0,True,N/A,EcoDataCube; Not specified in the text,0.0,0.02631578947368418,-1
GPT4,LTER-LIFE,Pre,https://stac.ecodatacube.eu/green_glad.landsat.ard2.seasconv.m.yearly/collection.json,ac.ecodatacube.eu,EcoDataCube,Cloud-free reconstructed Landsat yearly green band (EcoDataCube),Access rights,0,True,N/A,EcoDataCube; The access rights are not explicitly mentioned in the text.,0.0,0.0,-1
GPT4,LTER-LIFE,Pre,https://stac.ecodatacube.eu/ndvi_glad.landsat.ard2.seasconv/collection.json?.language=en,ac.ecodatacube.eu,EcoDataCube,Cloud-free reconstructed Landsat bimonthly NDVI (EcoDataCube),Access rights,0,True,N/A,STAC Browser 3.3.4; The access rights are represented by the string 'STAC Browser 3.3.4'.,0.0,0.011235955056179803,-1
GPT4,LTER-LIFE,Pre,https://stac.ecodatacube.eu/veg_quercus.robur_anv.eml/collection.json?.language=en,ac.ecodatacube.eu,EcoDataCube,Actual probability distribution for Quercus robur (EcoDataCube),Access rights,0,True,N/A,EcoDataCube; The access rights are not explicitly mentioned in the text.,0.0,0.0,-1
GPT4,LTER-LIFE,Pre,https://www.gbif.org/dataset/4fa7b334-ce0d-4e88-aaae-2e0c138d049e,gbif.org,GBIF,eBird observation dataset (GBIF),Access rights,0,True,N/A,Open Access; The access rights for the dataset are open access.,0.0,0.015873015873015928,-1
GPT4,LTER-LIFE,Pre,https://www.gbif.org/dataset/74196cd9-7ebc-4b20-bc27-3c2d22e31ed7,gbif.org,GBIF,Waterleidingduinen camera trap P1 (GBIF),Access rights,0,True,N/A,Camera trap data recorded during pilot studies in the Amsterdamse Waterleidingduinen - pilot 1; The access rights are not explicitly mentioned in the text,0.0,0.00649350649350644,-1
GPT4,LTER-LIFE,Pre,https://www.gbif.org/dataset/f9ba3c2e-0636-4f66-a4b5-b8c138046e9e,gbif.org,GBIF,Waterleidingduinen camera trap P2 (GBIF),Access rights,0,True,N/A,Camera trap data recorded during pilot studies in the Amsterdamse Waterleidingduinen - pilot 2; Not specified,0.0,0.00917431192660545,-1
GPT4,LTER-LIFE,Pre,https://www.gbif.org/dataset/bc0acb9a-131f-4085-93ae-a46e08564ac5,gbif.org,GBIF,Waterleidingduinen camera trap P3 (GBIF),Access rights,0,True,N/A,Camera trap data recorded during pilot studies in the Amsterdamse Waterleidingduinen - pilot 3; The access rights are not explicitly mentioned.,0.0,0.006993006993006978,-1
GPT4,LTER-LIFE,Pre,https://zenodo.org/records/11440456,zenodo.org,Zenodo,Waterleidingduinen camera trap P1-3 (Zenodo),Access rights,2,False,The data are freely available,"Repository of camera trap data recorded during three pilot studies of the Amsterdamse Waterleidingduinen; The dataset is openly accessible, except for images where humans were detected",0.06451612903225806,0.13043478260869568,-1
GPT4,LTER-LIFE,Pre,https://zenodo.org/records/8319440,zenodo.org,Zenodo,Downscaled LUH2 land use scenarios for Belgium (Zenodo),Access rights,0,True,N/A,High spatial resolution dataset of downscaled LUH2 land use scenarios for Belgium (10 m and 100 m); The access rights are not explicitly mentioned in the text,0.0,0.0,-1
GPT4,LTER-LIFE,Pre,https://datahuiswadden.openearth.nl/geonetwork/srv/api/records/A0h06_NlSEuNlium5OO3FA,datahuiswadden.openearth.nl,Datahuis Wadden,Ecotopenkaart 2016 (Datahuis Wadden),Data contact point,1,False,Wageningen Marine Research,Wageningen Marine Research; Wageningen Marine Research is the contact point for the data.,0.375,0.2921348314606742,-1
GPT4,LTER-LIFE,Pre,https://datahuiswadden.openearth.nl/geonetwork/srv/eng/catalog.search#/metadata/0fe7e64b-50b3-4cee-b64a-02659fc2b6c7,datahuiswadden.openearth.nl,Datahuis Wadden,Waddenbalans 2024 (Datahuis Wadden),Data contact point,1,False,"Het PON & Telos, info@hetpon-telos.nl",Het PON & Telos; Het PON & Telos can be contacted for information about the Waddenbalans 2024.,0.36363636363636365,0.2872340425531915,-1
GPT4,LTER-LIFE,Pre,https://datahuiswadden.openearth.nl/geonetwork/srv/eng/catalog.search#/metadata/L-mHomzGRuKAHGMkUPjY9g,datahuiswadden.openearth.nl,Datahuis Wadden,Ecotopenkaart 2017 (Datahuis Wadden),Data contact point,1,False,"Rijkswaterstaat, servicedesk-data@rws.nl",Rijkswaterstaat; The data contact point for the dataset is 'Rijkswaterstaat'.,0.26666666666666666,0.3246753246753247,-1
GPT4,LTER-LIFE,Pre,https://developers.google.com/earth-engine/datasets/catalog/NASA_HLS_HLSS30_v002,developers.google.com,Google Earth Engine,Harmonized Landsat Sentinel-2 (Google Earth Engine),Data contact point,0,True,N/A,Earth Engine; Earth Engine is the contact point for the dataset.,0.0,0.0,-1
GPT4,LTER-LIFE,Pre,https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-2bd-kskz,lifesciences.datastations.nl,DANS Datastations,Dutch forest reserves database and network (DANS),Data contact point,1,False,"Data Librarian (Wageningen University & Research), Jacobs, S. (Wageningen University & Research), Roest, E. (Wageningen University & Research)",Dutch forest reserves database and network; The data contact point is not explicitly mentioned in the text.,0.0625,0.21126760563380287,-1
GPT4,LTER-LIFE,Pre,https://lpdaac.usgs.gov/products/mod09a1v061/,lpdaac.usgs.gov,LP DAAC,MODIS Terra MOD09A1 Version 6.1 (LP DAAC),Data contact point,0,True,N/A,LP DAAC - MOD09A1; The data contact point is not explicitly mentioned in the text.,0.0,0.012195121951219523,-1
GPT4,LTER-LIFE,Pre,https://stac.ecodatacube.eu/blue_glad.landsat.ard2.seasconv.m.yearly/collection.json,ac.ecodatacube.eu,EcoDataCube,Cloud-free reconstructed Landsat yearly blue band (EcoDataCube),Data contact point,1,False,"Leandro Parente, leandro.parente@opengeohub.org","EcoDataCube; Leandro Parente, leandro.parente@opengeohub.org",0.923076923076923,0.7833333333333333,-1
